	ASCL1neg_corr	ASCL1neg_pval	ASCL1neg_qval	ASCL1neg_ci_low	ASCL1neg_ci_high	ASCL1pos_corr	ASCL1pos_pval	ASCL1pos_qval	ASCL1pos_ci_low	ASCL1pos_ci_high
SP1	-0.03415376729067519	8.943752587271124e-15	1.176035843165171e-14	-0.04277790265064588	-0.025524542574535833	0.03415415289419108	8.937581705875259e-15	1.1752244189185088e-14	0.025524928376862075	0.04277828799802569
LARP7	-0.03428556238261942	7.061163570411292e-15	9.303245810818566e-15	-0.04290961004862013	-0.025656405767398128	0.03428541231128675	7.063067680610116e-15	9.305754519907927e-15	0.025656255618350096	0.04290946007731254
SBNO2	-0.03470029760692794	3.3370841244450472e-15	4.408301353295967e-15	-0.04332406736016335	-0.026071357252182473	0.03469988304233127	3.339599839300256e-15	4.411624622589506e-15	0.02607094246992961	0.04332365307484714
PUS10	-0.034908806756187336	2.2818022222162678e-15	3.022254598961944e-15	-0.043532435666825055	-0.02627997625021416	0.034907744860878435	2.2862367630326523e-15	3.0274512130905524e-15	0.026278913793563338	0.04353137449069999
CCDC120	-0.03507023038156128	1.6974929914624568e-15	2.2513169648043193e-15	-0.0436937497394215	-0.026441485434496575	0.03506897465278093	1.701412413271717e-15	2.256515136965142e-15	0.02644022903840731	0.043692494864597364
ZNF460	-0.035138224252331575	1.4980347036036185e-15	1.9881017964215244e-15	-0.04376169733044955	-0.026509515478703165	0.035138586986067456	1.4970351381522831e-15	1.9867752331151734e-15	0.026509878405631442	0.04376205981707831
EIF2D	-0.035308665480868466	1.0939360076666586e-15	1.4537355583610082e-15	-0.04393202219823621	-0.026680047735005295	0.035307327807202006	1.0966447186154343e-15	1.4573351742397799e-15	0.02667870934497043	0.04393068543975543
PTPMT1	-0.03548799964338156	7.845912463505335e-16	1.0447286902137596e-15	-0.04411123338754661	-0.02685947821695467	0.03548757589501947	7.852091994627096e-16	1.045551530576178e-15	0.026859054240344224	0.0441108099304118
TRIM47	-0.0359809212428904	3.1204133701265026e-16	4.1661059681261715e-16	-0.044603814121254505	-0.027352667426447378	0.0359820807272413	3.113607450286845e-16	4.157019292772824e-16	0.027353827545241082	0.04460497279885439
YWHAB	-0.03607078483077632	2.6340847880875944e-16	3.51915135349044e-16	-0.044693615114689125	-0.027442580254497768	0.03607252085628583	2.6254665501128397e-16	3.5076373415001196e-16	0.027444317232625682	0.04469534992959864
MORC3	-0.036100343472635035	2.4910779397629227e-16	3.3303181012873296e-16	-0.04472315313702935	-0.027472155123334317	0.03610250650919153	2.48091878119652e-16	3.316736338498021e-16	0.02747431934793857	0.044725314664102706
ZNF334	-0.03618993654645795	2.1027587692809422e-16	2.816823535540445e-16	-0.04481268362040676	-0.02756179747386115	0.0361899022675836	2.102895278267024e-16	2.817006400893535e-16	0.027561763176106688	0.0448126493655064
PLSCR2	-0.036212528041119296	2.0146664569873896e-16	2.7006252774629887e-16	-0.044835259310600346	-0.02758440141588203	0.03621436489538488	2.00766596131167e-16	2.691241235002239e-16	0.02758623928259715	0.0448370948794596
UBB	-0.036653034297533055	8.700233894643183e-17	1.169386276161718e-16	-0.04527545563931734	-0.02802515214384495	0.03665407614855807	8.682870650368398e-17	1.167052506769946e-16	0.028026194577051616	0.045276496753356474
COPS7A	-0.03667231621378242	8.38436343144586e-17	1.127688423866289e-16	-0.04529472391286594	-0.028044444837782113	0.03667147579183236	8.397892187009042e-17	1.1295080278425074e-16	0.028043603945941582	0.0452938840856806
CUL4B	-0.03673863760849303	7.381843607619968e-17	9.948576290592948e-17	-0.04536099833364376	-0.028110803352121794	0.036737939152555056	7.391758837663179e-17	9.961939134316953e-17	0.02811010450486662	0.04536030037280167
INTU	-0.03683101736434997	6.179693339343445e-17	8.339667124620033e-17	-0.045453312532532854	-0.02820323493902622	0.036830690519760324	6.183585761045711e-17	8.344920055392323e-17	0.02820290791079544	0.04545298592014691
SUB1	-0.03688470160578223	5.572091467477076e-17	7.529853334428481e-17	-0.04550695860947851	-0.028256949368590537	0.03688732456753207	5.543964585388814e-17	7.491844034309209e-17	0.02825957380658093	0.045509579705273015
BRK1	-0.03759265145144474	1.403726509450992e-17	1.9020684409905042e-17	-0.04621440051675083	-0.028965301975068133	0.03759247372479808	1.404216937521168e-17	1.9027329776709594e-17	0.028965124146223348	0.0462142229187044
MRPS35	-0.03776162224980522	1.0063140749854264e-17	1.3644936609971882e-17	-0.0463832488038855	-0.02913437018374852	0.03776072504650844	1.0080979915358443e-17	1.3669125308960599e-17	0.02913347246191762	0.046382352252401414
JAGN1	-0.03817716307409058	4.411177315576649e-18	5.985315217878764e-18	-0.04679848624732645	-0.0295501526636799	0.03817607000519509	4.420808756958287e-18	5.998383659373523e-18	0.029549058955199582	0.04679739398037454
ZNF667	-0.038380709965634356	2.935659261986075e-18	3.988667475524559e-18	-0.04700188344479282	-0.029753819016220408	0.03838004184485144	2.9395959451071884e-18	3.9940162297652015e-18	0.029753150502147854	0.04700121581653406
CGRRF1	-0.03852364757448692	2.20275404455622e-18	3.0010273086597002e-18	-0.0471447155060455	-0.02989684094281683	0.038523493338586214	2.203438084500986e-18	3.0019592431893545e-18	0.02989668661574324	0.04714456138422526
LIN7C	-0.038739850182836634	1.4237250448337385e-18	1.9423261184634907e-18	-0.0473607577967548	-0.030113171758582007	0.03873960422376822	1.4244340344343047e-18	1.9432933621204705e-18	0.03011292565320152	0.04736051202052717
ZNF320	-0.03879859719518622	1.2639923159820218e-18	1.7255867794976407e-18	-0.04741946110791438	-0.030171953747345614	0.038798169124237905	1.265089640678411e-18	1.7270848336906632e-18	0.030171525421319394	0.04741903335561824
DUSP18	-0.03883141086008486	1.1826160546902111e-18	1.6155957031287037e-18	-0.04745225033720506	-0.030204786974603375	0.03883494010109763	1.174178064215516e-18	1.6051648177929132e-18	0.030208318320734978	0.04745577694896379
NSUN3	-0.03883397413727248	1.176481639725409e-18	1.6083139299048653e-18	-0.04745481170479471	-0.030207351780711104	0.03883367039225824	1.1772069154643677e-18	1.608206168667169e-18	0.030207047854515886	0.04745450818607126
